symbol,entry_price,exit_price,quantity,pnl,timestamp
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.695188
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.695590
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.695970
NIFTY_24700_CE,0,10.0,50,500.0,2025-11-29 17:06:01.697004
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.697604
NIFTY_24600_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.698028
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.698732
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.698916
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.699180
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.699425
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.699641
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.700139
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.700446
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.700763
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.701297
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.701635
NIFTY_24200_PE,0,10.0,50,500.0,2025-11-29 17:06:01.702051
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.702341
NIFTY_24200_PE,0,10.0,50,500.0,2025-11-29 17:06:01.702739
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.702972
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.703487
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.704753
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.705356
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.705763
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.706035
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.706790
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.707106
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.707490
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.708374
NIFTY_24400_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.709272
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.709529
NIFTY_24500_PE,0,10.0,50,500.0,2025-11-29 17:06:01.709966
NIFTY_24500_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.710478
NIFTY_24850_CE,0,10.0,50,500.0,2025-11-29 17:06:01.710773
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.710979
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.711358
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.711628
NIFTY_24750_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.711828
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.712096
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.712281
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.712596
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.713003
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.713440
NIFTY_24700_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.713658
NIFTY_24700_CE,0,10.0,50,500.0,2025-11-29 17:06:01.713940
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.714297
NIFTY_24600_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.714806
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.714963
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.715473
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.715941
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.716629
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.716902
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.717062
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.717479
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.717833
NIFTY_24750_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.718689
NIFTY_24700_CE,0,10.0,50,500.0,2025-11-29 17:06:01.718946
NIFTY_24350_PE,0,10.0,50,500.0,2025-11-29 17:06:01.719220
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.719957
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.720539
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.720796
NIFTY_24500_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.721154
NIFTY_24800_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.721437
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.721647
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.721908
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.722238
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.722630
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.722922
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.723201
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.723359
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.723647
NIFTY_24400_PE,0,10.0,50,500.0,2025-11-29 17:06:01.724043
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.724256
NIFTY_24450_PE,0,10.0,50,500.0,2025-11-29 17:06:01.724486
NIFTY_24800_CE,0,10.0,50,500.0,2025-11-29 17:06:01.724861
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.725395
NIFTY_24750_CE,0,10.0,50,500.0,2025-11-29 17:06:01.725567
NIFTY_24700_CE,0,10.0,50,500.0,2025-11-29 17:06:01.725720
NIFTY_24700_CE,0,10.0,50,500.0,2025-11-29 17:06:01.725981
NIFTY_24700_CE,0,10.0,50,500.0,2025-11-29 17:06:01.726183
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.726553
NIFTY_24600_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.726805
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.727014
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.727511
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.727677
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.727869
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.728137
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.728290
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.728570
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.728793
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.729120
NIFTY_24350_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.729413
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.729681
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.730339
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.730903
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.731064
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.731389
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.731618
NIFTY_24200_PE,0,10.0,50,500.0,2025-11-29 17:06:01.732133
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.732327
NIFTY_24200_PE,0,10.0,50,500.0,2025-11-29 17:06:01.732805
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.733054
NIFTY_24200_PE,0,10.0,50,500.0,2025-11-29 17:06:01.733332
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.733680
NIFTY_24500_CE,0,10.0,100,1000.0,2025-11-29 17:06:01.733844
NIFTY_24150_PE,0,10.0,50,500.0,2025-11-29 17:06:01.734069
NIFTY_24500_CE,0,10.0,50,500.0,2025-11-29 17:06:01.734384
NIFTY_24150_PE,0,10.0,50,500.0,2025-11-29 17:06:01.734738
NIFTY_24500_CE,0,10.0,50,500.0,2025-11-29 17:06:01.735437
NIFTY_24200_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.735861
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.736150
NIFTY_24200_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.736508
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.736973
NIFTY_24300_PE,0,10.0,50,500.0,2025-11-29 17:06:01.737191
NIFTY_24650_CE,0,10.0,50,500.0,2025-11-29 17:06:01.737752
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.738062
NIFTY_24550_CE,0,10.0,50,500.0,2025-11-29 17:06:01.738453
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.738795
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.739089
NIFTY_24250_PE,0,10.0,50,500.0,2025-11-29 17:06:01.739349
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.739826
NIFTY_24600_CE,0,10.0,50,500.0,2025-11-29 17:06:01.740288
NIFTY_24300_PE,0,10.0,100,1000.0,2025-11-29 17:06:01.740540
